scheme,eta0,delta,eta_minus,eta_plus,ci_minus,ci_plus,ci_avg,ci_nominal,ci_loss_avg,ci_worst,source,status,notes
GKP,0.45,0.01,0.44,0.46,0.38158018573363561,0.25865422937512061,0.32011720755437811,0.32105337082436236,0.00093616326998424704,0.25865422937512061,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.45; d1=2 d2=1 j2=0; energy_check ns=1.9974278 np=2.0007023; nominal_recompute_warning stored=0.3208845474 recomputed=0.3210533708
GKP,0.50,0.01,0.49,0.51,0.013306180085687513,-0.0069687195138543601,0.0031687302859165767,0.0031727126620877399,3.9823761711632599e-06,-0.0069687195138543601,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.50; d1=3 d2=1 j2=0; energy_check ns=2.0007849 np=2.0000408
GKP,0.55,0.01,0.54,0.56,0.15699979507758854,0.23363201376628107,0.19531590442193481,0.19555540990127174,0.00023950547933693223,0.15699979507758854,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.55; d1=3 d2=3 j2=1; energy_check ns=2.0009015 np=1.5575671; nominal_recompute_warning stored=0.1956236223 recomputed=0.1955554099
GKP,0.60,0.01,0.59,0.61,0.36798599983345248,0.42933805020011517,0.39866202501678383,0.40006433856074208,0.0014023135439582557,0.36798599983345248,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.60; d1=2 d2=2 j2=1; energy_check ns=2.0049123 np=1.9991645; nominal_recompute_warning stored=0.4001735887 recomputed=0.4000643386
GKP,0.65,0.01,0.64,0.66,0.54879507496791735,0.62910816592522245,0.5889516204465699,0.58887376944952652,-7.7850997043382719e-05,0.54879507496791735,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.65; d1=4 d2=5 j2=4; energy_check ns=2.0039484 np=1.9994282; nominal_recompute_warning stored=0.5888990273 recomputed=0.5888737694
GKP,0.70,0.01,0.69,0.71,0.75699721410328058,0.83976895211636071,0.79838308310982065,0.79830662437057609,-7.6458739244555929e-05,0.75699721410328058,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.70; d1=4 d2=5 j2=4; energy_check ns=2.0487272 np=1.999307; nominal_recompute_warning stored=0.7983467132 recomputed=0.7983066244
GKP,0.75,0.01,0.74,0.76,0.96148927130228401,1.0482811353183532,1.0048852033103186,1.0047143220755328,-0.00017088123478581352,0.96148927130228401,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.75; d1=5 d2=5 j2=4; energy_check ns=2.0494825 np=1.9995149; nominal_recompute_warning stored=1.004759612 recomputed=1.004714322
GKP,0.80,0.01,0.79,0.81,1.1830185201997132,1.2738069222965076,1.2284127212481104,1.2282411856129101,-0.00017153563520033721,1.1830185201997132,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.80; d1=5 d2=5 j2=1; energy_check ns=2.0490556 np=1.9986312; nominal_recompute_warning stored=1.22834947 recomputed=1.228241186
GKP,0.85,0.01,0.84,0.86,1.4093563608147495,1.5033735838784783,1.4563649723466139,1.4562262009035745,-0.00013877144303942046,1.4093563608147495,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.85; d1=5 d2=4 j2=3; energy_check ns=2.0480179 np=0.42203253; nominal_recompute_warning stored=1.456341599 recomputed=1.456226201
GKP,0.90,0.01,0.89,0.91,1.6526639826020446,1.7481014840329501,1.7003827333174972,1.7003753753415856,-7.3579759116704224e-06,1.6526639826020446,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.90; d1=5 d2=5 j2=1; energy_check ns=2.0491767 np=1.998742; nominal_recompute_warning stored=1.700485836 recomputed=1.700375375
GKP,0.95,0.01,0.94,0.96,1.8879412142022045,1.9848572049634887,1.9363992095828466,1.9362683974781087,-0.0001308121047378652,1.8879412142022045,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.95; d1=5 d2=5 j2=1; energy_check ns=2.0493872 np=1.9992143; nominal_recompute_warning stored=1.936327189 recomputed=1.936268397
GKP,0.05,0.03,0.02,0.08,-0.00069508606434398601,-0.00023982401366096084,-0.00046745503900247343,-0.00034088880717297876,0.00012656623182949467,-0.00069508606434398601,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.05; d1=5 d2=4 j2=0
GKP,0.10,0.03,0.07,0.13,-0.00020103682505334675,-7.5223349054187594e-05,-0.00013813008705376717,-0.00011944407780695165,1.8686009246815516e-05,-0.00020103682505334675,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.10; d1=2 d2=4 j2=0
GKP,0.15,0.03,0.12,0.18,-0.11092581870608065,0.37689090603094844,0.13298254366243389,0.16262462130801048,0.029642077645576581,-0.11092581870608065,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.15; d1=4 d2=1 j2=0; energy_check ns=1.9975491 np=2.0166587; nominal_recompute_warning stored=0.1630069328 recomputed=0.1626246213
GKP,0.20,0.03,0.17,0.23,0.23453721297378882,0.66437124311017759,0.44945422804198321,0.4787964529603701,0.029342224918386894,0.23453721297378882,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.20; d1=3 d2=1 j2=0; energy_check ns=1.9974621 np=2.0142901; nominal_recompute_warning stored=0.4784036033 recomputed=0.478796453
GKP,0.25,0.03,0.22,0.28,0.61417394119173307,0.64179226318151628,0.62798310218662468,0.72114638199237335,0.093163279805748678,0.61417394119173307,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.25; d1=3 d2=1 j2=0; energy_check ns=2.0041376 np=2.0138683; nominal_recompute_warning stored=0.7204936998 recomputed=0.721146382
GKP,0.30,0.03,0.27,0.33,0.57646922168169068,0.73446453654444022,0.65546687911306545,0.68609662852096687,0.030629749407901419,0.57646922168169068,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.30; d1=2 d2=1 j2=0; energy_check ns=1.9995693 np=2.008438; nominal_recompute_warning stored=0.6858549799 recomputed=0.6860966285
GKP,0.35,0.03,0.32,0.38,0.73589843494752216,0.65415979588239503,0.6950291154149586,0.73156164217946973,0.036532526764511131,0.65415979588239503,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.35; d1=2 d2=1 j2=0; energy_check ns=2.0019604 np=2.0067273; nominal_recompute_warning stored=0.7312607368 recomputed=0.7315616422
GKP,0.40,0.03,0.37,0.43,0.70759499910133195,0.44018051040198225,0.5738877547516571,0.59433988942390803,0.020452134672250932,0.44018051040198225,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.40; d1=2 d2=1 j2=0; energy_check ns=1.9991787 np=2.0037481; nominal_recompute_warning stored=0.5939052966 recomputed=0.5943398894
